model: SRC-K05D-1D
highlight: Customer-Preferred Choice
range_km: 10
image: /images/radar/src-k05d-1d.jpg
factory_location: Xi'an, China
targets:
  drone_small: 5
Type	SRC-K05D-1D
Frequency band	Ku  Band
Detection range	≥5Km（RCS:0.01m2，UAV）
Blind zone	≤150m
Mode	Mechanical scanning And Two-Dim Phased Scanning
View range	Mechanical scanning：Azimuth：0°~360°
	Elevation：0°~80°（Elevation Configurable）
	Phased Scanning：Azimuth：-45°~45°
	Elevation：0°~80°（Elevation Configurable）
Track function	Mechanical scanning: Track mode
	Two-Dim Phased Scanning: TAS
TAS Tracking Targets Number	≥6
Speed measuring range	1m/s~100m/s
Target update rate	Mechanical scanning≤3.5s
	Phased Scanning≤3.5s (Elevation:30°)
Search Accuracy	
  Distance：≤10m
	Azimuth：≤0.5°
	Elevation：≤0.4°
Track Accuracy	
  Distance：≤10m
	Azimuth：≤0.4°
	Elevation：≤0.3°
